,freqs,usess,value
198,"406,1000 – 408,0000","MOBIL TERESTRU RADIOASTRONOMIE 5.149
5.265
ECA36",1
199,"408,0000 – 410,0000",nan,1
200,"410,0000 – 411,0000","MOBIL cu exceptia mobil aeronautic
ECA36",1
201,"410,1000 – 415,0000",nan,1
202,"415,0000 – 420,0000",nan,1
203,"420,0000 – 421,0000","MOBIL cu excepția mobil aeronautic
Radiolocație ECA7 ECA36",1
204,"421,0000 – 425,0000",nan,1
205,"425,0000 – 429,8000",nan,1
206,"429,8000 – 430,0000",nan,1
207,"430,0000 – 432,0000","AMATOR
RADIOLOCAȚIE",1
208,"430,0000 – 432,0000","MOBIL TERESTRU 5.277
ECA12",1
209,"432,0000 – 433,0500",AMATOR,1
210,"432,0000 – 433,0500",RADIOLOCATIE,1
211,"432,0000 – 433,0500","Explorarea Pământului prin satelit (activ) 5.279A
5.277",1
212,"432,0000 – 433,0500",ECA12,1
213,"433,0500 – 434,7900","AMATOR RADIOLOCAȚIE
Mobil terestru
Explorarea Pământului prin satelit (activ) 5.279A",1
214,"433,0500 – 434,7900",5.138,1
215,"433,0500 – 434,7900","5.277
ECA12",1
216,"434,7900 – 438,0000","AMATOR
AMATOR PRIN SATELIT
RADIOLOCAȚIE
Explorarea Pământului prin satelit (activ) 5.279A",1
217,"434,7900 – 438,0000","5.277
ECA12",1
218,"438,0000 – 440,0000","AMATOR
RADIOLOCAȚIE 5.277
ECA12",1
219,"440,0000 – 442,5000","MOBIL cu excepția mobil aeronautic
Radiolocație ECA7 ECA36",1
220,"442,5000 – 444,0000",nan,1
221,"444,0000 – 445,0000",nan,1
222,"445,0000 – 446,0000",nan,1
223,"446,0000 – 447,5000",nan,1
224,"447,5000 – 449,0000",nan,1
225,"449,0000 - 450,0000",nan,1
226,"450,0000 – 450,5500",MOBIL ECA7,1
227,"450,5500 – 452,0000",nan,1
228,"452,0000 – 453,0000",nan,1
229,"453,0000 – 455,0000",nan,1
230,"455,0000-456,0000",MOBIL ECA7,1
231,"456,0000 – 457,5000",MOBIL 5.287 ECA7,1
232,"457,5000 – 458,2000",nan,1
233,"458,2000 – 458,4500",nan,1
234,"458,4500-459,0000",nan,1
235,"459,0000 – 459,3000",MOBIL ECA7,1
236,"459,3000 – 459,7000",nan,1
237,"459,7000 – 460,0000",nan,1
238,"460,0000 – 460,5500","MOBIL 5.287
5.289",1
239,"460,5500 - 462,0000",nan,1
240,"462,0000 - 463,0000",nan,1
241,"463,0000 - 467,5000",nan,1
242,"467,5000 - 468,2000",nan,1
243,"468,2000-468,4500",nan,1
244,"468,4500-469,4500",nan,1
