,freqs,usess,value
169,"7000,00 – 7100,00",AMATOR PRIN SATELIT,1
170,"7100,00 – 7200,00",AMATOR,1
171,"7200,00 – 7300,00",RADIODIFUZIUNE,1
172,"7300,00 – 7400,00",RADIODIFUZIUNE,1
173,"7400,00 – 7450,00",RADIODIFUZIUNE,1
174,"7450,00 – 8100,00",FIX,1
175,"7450,00 – 8100,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
176,"8100,00 – 8195,00",FIX,1
177,"8100,00 – 8195,00",MOBIL MARITIM,1
178,"8195,00 – 8815,00",MOBIL MARITIM,1
179,"8815,00 – 8965,00",MOBIL AERONAUTIC (R),1
180,"8965,00 – 9040,00",MOBIL AERONAUTIC (OR),1
181,"9040,00 – 9305,00",FIX,1
182,"9305,00 – 9355,00",FIX,1
183,"9305,00 – 9355,00",RADIOLOCAȚIE,1
184,"9355,00 – 9400,00",FIX,1
185,"9400,00 – 9500,00",RADIODIFUZIUNE ,1
186,"9500,00 – 9900,00",RADIODIFUZIUNE,1
187,"9900,00 – 9995,00",FIX,1
188,"9995,00 – 10003,00",FRECVENŢE ETALON ŞI SEMNALE ORARE,1
189,"10003,00 – 10005,00",CERCETARE SPAŢIALĂ,1
190,"10003,00 – 10005,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE",1
191,"10005,00 – 10100,00",MOBIL AERONAUTIC (R),1
192,"10100,00 – 10150,00",FIX,1
193,"10100,00 – 10150,00",AMATOR,1
194,"10150,00 – 11175,00",FIX,1
195,"10150,00 – 11175,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
196,"11175,00 – 11275,00",MOBIL AERONAUTIC (OR),1
197,"11275,00 – 11400,00",MOBIL AERONAUTIC (R),1
198,"11400,00 – 11600,00",FIX,1
199,"11600,00 – 11650,00",RADIODIFUZIUNE,1
200,"11650,00 – 12050,00",RADIODIFUZIUNE,1
201,"12050,00 – 12100,00",RADIODIFUZIUNE,1
202,"12100,00 – 12230,00",FIX,1
203,"12230,00 – 13200,00",MOBIL MARITIM,1
204,"13200,00 – 13260,00",MOBIL AERONAUTIC (OR),1
205,"13260,00 – 13360,00",MOBIL AERONAUTIC (R),1
206,"13360,00 – 13410,00",FIX,1
207,"13360,00 – 13410,00",RADIOASTRONOMIE,1
208,"13410,00 – 13450,00",FIX,1
209,"13410,00 – 13450,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
210,"13450,00 – 13550,00",FIX,1
211,"13450,00 – 13550,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
212,"13450,00 – 13550,00",RADIOLOCAȚIE,1
213,"13550,00 – 13570,00",FIX,1
214,"13550,00 – 13570,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
215,"13570,00 – 13600,00",RADIODIFUZIUNE,1
216,"13600,00 – 13800,00",RADIODIFUZIUNE,1
217,"13800,00 – 13870,00",RADIODIFUZIUNE,1
218,"13870,00 – 14000,00",FIX,1
219,"13870,00 – 14000,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
220,"14000,00 – 14250,00",AMATOR,1
221,"14000,00 – 14250,00",AMATOR PRIN SATELIT,1
222,"14250,00 – 14350,00",AMATOR,1
223,"14350,00 – 14990,00",FIX,
224,"14350,00 – 14990,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
225,"14990,00 – 15005,00",FRECVENŢE ETALON ŞI SEMNALE ORARE,1
226,"15005,00 – 15010,00",CERCETARE SPAŢIALĂ,1
227,"15005,00 – 15010,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE",1
228,"15010,00 – 15100,00",MOBIL AERONAUTIC (OR),1
229,"15100,00 – 15600,00",RADIODIFUZIUNE,1
230,"15600,00 – 15800,00",RADIODIFUZIUNE,1
