"Banda de frecvenţe
(GHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Utilizări în România,Column2,Column3,Column4,Column5,Statut utilizare,Column6
,5.149,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota
11)",,,,,,
"23,15 – 23,55","FIX
INTERSATELIŢI 5.338A MOBIL","FIX
INTERSATELIŢI 5.338A",,Linii fixe,,,"T/R 13–02
EN 302 217
EN 302 326",,NG,
,,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota 11)",,,"ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)",,,
"23,55 – 23,60",FIX MOBIL,"FIX
INTERSATELIŢI",,Linii fixe,,,"T/R 13–02
EN 302 217
EN 302 326",,NG,
,,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota 11)",,,"ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)",,,
,,,,,,,,,,
,,,,,,,,,,
"23,60 – 24,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)",,"Senzori pasivi (la bordul sateliţilor) (măsurări ale vaporilor de apă, ale apei lichide, ale norilor pentru sondarea proprietăţilor atmosferei)",,,,,NG,
,5.340,5.340,,"Radioastronomie (observaţii în domeniul continuu și de linii spectrale (ale amoniului), interferometrie VLBI)",,,,,,
,,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe
piață până la 1 ianuarie 2018) (Nota 11)",,,"ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)",,,
"24,00 – 24,05",AMATOR,AMATOR,,"Amator (în banda 24–24,25 GHz)",,,EN 301 783,,NG,
,"AMATOR PRIN SATELIT
5.150","AMATOR PRIN SATELIT
Mobil",,Amator prin satelit,,,EN 301 783,,,
,,5.150,,"ISM (în banda 24–24,25 GHz)",,,,,,
,,,,"SRD nespecifice (în banda 24–24,25 GHz)",,,"ERC/REC 70–03
EN 300 440",,,
,,,,"PMSE (camere fără cordon; legături
video punct-la-punct temporare)",,,"ERC/REC 25–10
EN 302 064",,,
,,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota
11)",,,"ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)",,,
,,,,,,,,,,
,,,,,,,,,,
"24,05 – 24,25","RADIOLOCAŢIE
Amator
Explorarea Pământului prin
satelit (activ) 5.150","RADIOLOCAŢIE
Amator
Explorarea Pământului prin
satelit (activ)
Fix",,"Senzori activi (la bordul sateliţilor) (radare de detectare a precipitaţiilor amplasate pe satelit)
Amator (în banda 24–24,25 GHz)",,,EN 301 783,,G(A)/NG,
,,Mobil,,"ISM (în banda 24–24,25 GHz)",,,,,,
,,"5.150
ECA36",,"SRD nespecifice (în banda 24–24,25 GHz) (decizia Comisiei Europene este aplicabilă numai pentru banda 24,15 – 24,25 GHz)",,,"ERC/REC 70–03
EN 300 440
Decizia 2008/432/CE (Nota 2)",,,
,,,,"PMSE (camere fără cordon; legături
video punct-la-punct temporare)",,,"ERC/REC 25–10
EN 302 064",,,
,,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota 11)",,,"ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)",,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05-24,25 GHz şi în banda 24,05– 27,00 GHz pentru aplicaţii TLPR; sunt incluse SRR de bandă îngustă)",,,"ERC/REC 70–03
EN 300 440
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05–26,50 GHz pentru aplicaţii LPR)",,,"ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,,
,,,,Aplicaţii TTT,,,"ERC/REC 70-03
EN 302 858
Decizia 2011/829/UE (Nota 5)",,,
,,,,Radiolocație (militară),,,,,,
,,,,,,,,,,
,,,,,,,,,,
"24,25 – 24,45",FIX,FIX,,"MFCN (în banda 24,25-27,5 GHz)",,,"ECC/DEC/(18)06
Decizia (UE) 2019/784
ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)
ERC/REC 70-03
EN 302 858
Decizia 2013/752/UE (Nota 6)",,NG,
,,MOBIL,,,,,,,,
,,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota 11)",,,,,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05-24,25 GHz şi în banda 24,05– 27,00 GHz pentru aplicaţii TLPR)",,,,,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05–26,50 GHz pentru aplicaţii LPR)",,,,,,
,,,,Aplicaţii TTT,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"24,45 – 24,50",FIX,FIX,,"MFCN (în banda 24,25-27,5 GHz)",,,"ECC/DEC/(18)06
Decizia (UE) 2019/784
ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)
ERC/REC 70-03
EN 302 858
Decizia 2013/752/UE (Nota 6)",,NG,
,INTERSATELIŢI,MOBIL,,,,,,,,
,,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota 11)",,,,,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05-24,25 GHz şi în banda 24,05– 27,00 GHz pentru aplicaţii TLPR)",,,,,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05–26,50 GHz pentru aplicaţii LPR)",,,,,,
,,,,Aplicaţii TTT,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"24,50 – 24,65",FIX,FIX,,Linii fixe,,,"T/R 13–02
EN 302 217
EN 302 326
ECC/DEC/(18)06
Decizia (UE) 2019/784
ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,NG,
,INTERSATELIŢI,MOBIL,,,,,,,,
,,,,"MFCN (în banda 24,25-27,5 GHz)",,,,,,
,,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota 11)",,,,,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05-24,25 GHz şi în banda 24,05– 27,00 GHz pentru aplicaţii TLPR)",,,,,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05–26,50 GHz pentru aplicaţii LPR)",,,,,,
,,,,,,,,,,
,,,,,,,,,,
"24,65 – 24,75",FIX,FIX,,Linii fixe,,,"T/R 13–02
EN 302 217
EN 302 326
ECC/DEC/(18)06
Decizia (UE) 2019/784
ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,NG,
,"FIX PRIN SATELIT (Pământ–
spaţiu) 5.532B","FIX PRIN SATELIT (Pământ–
spaţiu) 5.532B",,,,,,,,
,INTERSATELIŢI,MOBIL,,"MFCN (în banda 24,25-27,5 GHz)",,,,,,
,,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota 11)",,,,,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05-24,25 GHz şi în banda 24,05– 27,00 GHz pentru aplicaţii TLPR)",,,,,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05–26,50 GHz pentru aplicaţii LPR)",,,,,,
,,,,,,,,,,
,,,,,,,,,,
"24,75 – 25,25",FIX,FIX,,Linii fixe,,,"T/R 13–02
EN 302 217
EN 302 326
ECC/DEC/(18)06
Decizia (UE) 2019/784
ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,NG,
,"FIX PRIN SATELIT (Pământ–
spaţiu) 5.532B","FIX PRIN SATELIT (Pământ–
spaţiu) 5.532B",,,,,,,,
,,MOBIL,,"MFCN (în banda 24,25-27,5 GHz)",,,,,,
,,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota 11)",,,,,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05-24,25 GHz şi în banda 24,05– 27,00 GHz pentru aplicaţii TLPR)",,,,,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05–26,50 GHz pentru aplicaţii LPR)",,,,,,
,,,,,,,,,,
,,,,,,,,,,
"25,25 – 25,50",FIX,FIX,,Linii fixe,,,"T/R 13–02
EN 302 217
EN 302 326
ECC/DEC/(18)06
Decizia (UE) 2019/784
ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,NG,
,INTERSATELIŢI 5.536,INTERSATELIŢI 5.536,,,,,,,,
,MOBIL,MOBIL,,,,,,,,
,"Frecvenţe etalon şi semnale
orare prin satelit (Pământ– spaţiu)",,,"MFCN (în banda 24,25-27,5 GHz)",,,,,,
,,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota 11)",,,,,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05-24,25 GHz şi în banda 24,05– 27,00 GHz pentru aplicaţii TLPR)",,,,,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05–26,50 GHz pentru aplicaţii LPR)",,,,,,
,,,,,,,,,,
,,,,,,,,,,
"25,50 –26,50","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (spaţiu–Pământ)
5.536B","FIX
INTERSATELIŢI 5.536 MOBIL
CERCETARE SPAŢIALĂ
(spaţiu–Pământ) 5.536C
Explorarea Pământului prin satelit (spaţiu–Pământ) 5.536B
5.536A ECA36",,Linii fixe,,,"T/R 13–02
EN 302 217
EN 302 326",,NG,
,"FIX
INTERSATELIŢI 5.536 MOBIL",,,"MFCN (în banda 24,25-27,5 GHz)",,,"ECC/DEC/(18)06
Decizia (UE) 2019/784",,,
,"CERCETARE SPAŢIALĂ
(spaţiu–Pământ) 5.536C
Frecvenţe etalon şi semnale orare prin satelit (Pământ– spaţiu)
5.536A",,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota 11)",,,"ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)",,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05-24,25 GHz şi în banda 24,05– 27,00 GHz pentru aplicaţii TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,
,,,,"Aplicaţii radiodeterminare (în banda 24,05–26,50 GHz pentru aplicaţii LPR)",,,"ECC/DEC/(11)02 ERC/REC 70–03
EN 302 729
Decizia 2013/752/UE (Nota 6)",,,
,,,,"Cercetare spaţială (telemetrie prin
satelit)",,,,,,
,,,,,,,,,,
,,,,,,,,,,
"26,50 – 27,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (spaţiu–Pământ)
5.536B","FIX
INTERSATELIŢI 5.536 MOBIL
CERCETARE SPAŢIALĂ
(spaţiu–Pământ) 5.536C
Explorarea Pământului prin satelit (spaţiu–Pământ) 5.536B
5.536A ECA36",,"MFCN (în banda 24,25-27,5 GHz)
Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota 11)
Aplicaţii radiodeterminare
(în banda 24,05–27,00 GHz pentru
aplicaţii TLPR)
Cercetare spaţială (telemetrie prin satelit)
Sisteme militare terestre",,,"ECC/DEC/(18)06
Decizia (UE) 2019/784
ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,G(A)/NG,
,FIX,,,,,,,,,
,INTERSATELIŢI 5.536,,,,,,,,,
,MOBIL,,,,,,,,,
,"CERCETARE SPAŢIALĂ
(spaţiu–Pământ) 5.536C",,,,,,,,,
,Frecvenţe etalon şi semnale orare prin satelit (Pământ– spaţiu),,,,,,,,,
,5.536A,,,,,,,,,
"27,00 – 27,50","FIX
INTERSATELIŢI 5.536","FIX
INTERSATELIŢI 5.536",,"MFCN (în banda 24,25-27,5 GHz)",,,"ECC/DEC/(18)06
Decizia (UE) 2019/784",,G(A)/NG,
,MOBIL,"MOBIL
Explorarea Pământului prin satelit (spaţiu–Pământ)",,Sisteme militare terestre,,,,,,
,,ECA36,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"27,50 – 28,2485","FIX 5.537A
FIX PRIN SATELIT (Pământ– spaţiu) 5.484A 5.516B 5.539","FIX
FIX PRIN SATELIT (Pământ– spaţiu)  5.484A 5.516B 5.539",,"Legături de conexiune (pentru sateliţi de radiodifuziune (HDTV) în banda 27,5–29,5 GHz)",,,,,NG,
,MOBIL,5.538  5.540,,Linii fixe,,,"T/R 13–02
EN 302 217
EN 302 326",,,
,5.538  5.540,,,"FWA (staţii radio centrale pereche cu 28,5–29,5 GHz pentru sisteme FDD)",,,ECC/REC/(11)01 EN 302 326,,,
,,,,"Stații de sol în serviciul fix prin satelit (sensul Pământ–spaţiu pentru staţii de sol necoordonate) (Sensul spaţiu– Pământ este limitat la balize pentru controlul puterii în sensul ascendent, în banda 27,5–27,501 GHz)",,,EN 301 360,,,
,,,,"Staţii de sol pe platforme mobile
(ESOMP) operînd în sisteme GSO",,,ECC/DEC/(13)01 EN 303 978,,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi maritime),,,ECC/DEC/(15)04 EN 303 979,,,
,,,,,,,,,,
,,,,,,,,,,
"28,2485 – 28,50","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.484A 5.516B 5.539","FIX
FIX PRIN SATELIT (Pământ– spaţiu) 5.484A 5.516B 5.539",,"Legături de conexiune (pentru sateliţi de radiodifuziune (HDTV) în banda 27,5–29,5 GHz)",,,,,G/NG,
,MOBIL,5.540,,Linii fixe,,,"T/R 13–02
EN 302 217
EN 302 326",,,
,5.540,,,"FWA (staţii radio centrale pereche cu 28,5–29,5 GHz pentru sisteme FDD)",,,ECC/REC/(11)01 EN 302 326,,,
,,,,"Stații de sol în serviciul fix prin satelit (sensul Pământ–spaţiu pentru staţii de sol necoordonate) (Sensul spaţiu– Pământ este limitat la balize pentru controlul puterii în sensul ascendent, în banda 27,5–27,501 GHz)",,,EN 301 360,,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme GSO,,,ECC/DEC/(13)01 EN 303 978,,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi maritime),,,ECC/DEC/(15)04 EN 303 979,,,
,,,,,,,,,,
,,,,,,,,,,
"28,50 – 29,10","FIX
FIX PRIN SATELIT (Pământ– spaţiu) 5.484A 5.516B 5.523A 5.539
MOBIL
Explorarea Pământului prin satelit (Pământ–spaţiu) 5.541","FIX
FIX PRIN SATELIT (Pământ– spaţiu) 5.484A 5.516B 5.523A 5.539
Explorarea Pământului prin
satelit (Pământ–spaţiu) 5.541",,"Legături de conexiune (pentru sateliţi de radiodifuziune (HDTV) în banda 27,5–29,5 GHz)
Linii fixe",,,"T/R 13–02
EN 302 217
EN 302 326",,NG,
,5.540,5.540,,"FWA (staţii radio centrale pereche cu 27,5–28,5 GHz pentru sisteme FDD)",,,ECC/REC/(11)01 EN 302 326,,,
,,,,Stații de sol în serviciul fix prin satelit (sensul Pământ–spaţiu pentru staţii de sol necoordonate),,,EN 301 360,,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme GSO,,,ECC/DEC/(13)01 EN 303 978,,,
,,,,"Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi
maritime)",,,ECC/DEC/(15)04 EN 303 979,,,
"29,10 – 29,2565",FIX,FIX,,"Legături de conexiune (pentru sateliţi de radiodifuziune (HDTV) în banda 27,5–29,5 GHz)
Linii fixe
FWA (staţii radio centrale pereche cu 27,5–28,5 GHz pentru sisteme FDD)
Stații de sol în serviciul fix prin satelit (sensul Pământ–spaţiu pentru staţii de sol necoordonate)
Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme GSO",,,,,NG,
,"FIX PRIN SATELIT (Pământ– spaţiu) 5.516B 5.523C 5.523E 5.535A 5.539 5.541A
MOBIL
Explorarea Pământului prin satelit (Pământ–spaţiu) 5.541","FIX PRIN SATELIT (Pământ– spaţiu) 5.516B 5.523C 5.523E 5.535A 5.539 5.541A
Explorarea Pământului prin satelit (Pământ–spaţiu) 5.541",,,,,"T/R 13–02
EN 302 217
EN 302 326",,,
,5.540,5.540,,,,,ECC/REC/(11)01 EN 302 326,,,
,,,,,,,EN 301 360,,,
,,,,,,,ECC/DEC/(13)01 EN 303 978,,,
,,,,,,,,,,
,,,,,,,,,,
"29,2565 – 29,50","FIX
FIX PRIN SATELIT (Pământ– spaţiu) 5.516B 5.523C 5.523E 5.535A 5.539 5.541A
MOBIL
Explorarea Pământului prin satelit (Pământ–spaţiu) 5.541
5.540",FIX,,"Legături de conexiune (pentru sateliţi de radiodifuziune (HDTV) în banda 27,5–29,5 GHz)
Linii fixe
FWA (staţii radio centrale pereche cu 27,5–28,5 GHz pentru sisteme FDD)
Stații de sol în serviciul fix prin satelit (sensul Pământ–spaţiu pentru staţii de sol necoordonate)
Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme GSO",,,,,G/NG,
,,"FIX PRIN SATELIT (Pământ– spaţiu) 5.516B 5.523C 5.523E 5.535A 5.539 5.541A
Explorarea Pământului prin satelit (Pământ–spaţiu) 5.541",,,,,"T/R 13–02
EN 302 217
EN 302 326",,,
,,5.540,,,,,ECC/REC/(11)01 EN 302 326,,,
,,,,,,,EN 301 360,,,
,,,,,,,ECC/DEC/(13)01 EN 303 978,,,
"29,50 – 29,90","FIX PRIN SATELIT (Pământ– spaţiu) 5.484A  5.516B  5.539 5.484B 5.527A
Explorarea Pământului prin satelit (Pământ–spaţiu) 5.541
Mobil prin satelit (Pământ– spaţiu)
5.540
5.542","FIX PRIN SATELIT (Pământ– spaţiu) 5.484A  5.516B  5.539 5.484B 5.527A
Explorarea Pământului prin satelit (Pământ–spaţiu) 5.541
Mobil prin satelit (Pământ– spaţiu)
5.540",,"Aplicaţii de mare densitate în serviciul fix prin satelit (SIT/ SUT)
Terminale de satelit de putere (pire) mare (HEST)
Terminale de satelit de putere (pire)
mică (LEST)
Stații de sol în serviciul  mobil prin
satelit
Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme GSO
Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi
maritime)",,,"ECC/DEC/(05)08 EN 301 459
ECC/DEC/(06)03 EN 301 459
ECC/DEC/(06)02 EN 301 459
EN 301 459
ECC/DEC/(13)01 EN 303 978
ECC/DEC/(15)04 EN 303 979",,NG,
,,,,,,,,,,
,,,,,,,,,,
"29,90 – 30,00","FIX PRIN SATELIT (Pământ– spaţiu) 5.484A  5.516B  5.539 5.484B 5.527A
Explorarea Pământului prin satelit (Pământ–spaţiu) 5.541
5.543
5.525  5.526  5.527  5.538  5.540
5.542","FIX PRIN SATELIT (Pământ– spaţiu) 5.484A  5.516B  5.539 5.484B 5.527A
MOBIL PRIN SATELIT (Pământ–
spaţiu)
EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (Pământ–spaţiu) 5.541  5.543",,"Stații de sol în serviciul fix prin satelit (limitat la balize pentru controlul puterii în sensul ascendent în banda 29,999–30 GHz)
Aplicaţii de mare densitate în
serviciul fix prin satelit (SIT/ SUT)
Terminale de satelit de putere (pire) mare (HEST)",,,"ECC/DEC/(05)08 EN 301 459
ECC/DEC/(06)03 EN 301 459",,NG,
,,5.525  5.526  5.527  5.538  5.540,,"Terminale de satelit de putere (pire)
mică (LEST)",,,ECC/DEC/(06)02 EN 301 459,,,
,,,,Stații de sol în serviciul  mobil prin satelit,,,EN 301 459,,,
,,,,"Staţii de sol pe platforme mobile
(ESOMP) operînd în sisteme GSO",,,ECC/DEC/(13)01 EN 303 978,,,
,,,,"Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi
maritime)",,,ECC/DEC/(15)04 EN 303 979,,,
"30,00 – 31,00","FIX PRIN SATELIT (Pământ–
spaţiu) 5.338A","FIX PRIN SATELIT (Pământ–
spaţiu) 5.338A",,Stații de sol în serviciul fix prin satelit (staţii de sol necoordonate),,,,,G(A) / NG,
,"MOBIL PRIN SATELIT (Pământ–
spaţiu)
Frecvenţe etalon şi semnale orare prin satelit (spaţiu–
Pământ)","MOBIL PRIN SATELIT (Pământ–
spaţiu)
ECA36",,"Stații de sol în serviciul mobil prin
satelit
Sisteme satelitare militare",,,,,,
,5.542,,,,,,,,,
"31,00 – 31,30","FIX  5.338A  5.543A MOBIL
Cercetare spaţială 5.544 5.545
Frecvenţe etalon şi semnale orare prin satelit (spaţiu–
Pământ)
5.149","FIX 5.338A
5.149",,"Linii fixe
Radioastronomie (observaţii în domeniul continuu)",,,"ECC/REC(02)02 EN 302 217
EN 302 326",,NG,
,,,,,,,,,,
,,,,,,,,,,
"31,30 – 31,50","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)
5.340","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)
5.340",,"Senzori pasivi (la bordul sateliţilor) (măsurarea stratului de gheaţă la suprafaţa mării, a vaporilor de apă, a întinderii scurgerilor de petrol, a apei lichide, a norilor, a temperaturii de suprafaţă, a emisivității și atenuării atmosferice) (fereastră de referinţă pentru gama 50–60 GHz)
Radioastronomie (observaţii în domeniul continuu)",,,,,NG,
"31,50 – 31,80","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)
Fix
Mobil cu excepţia mobil
aeronautic 5.149  5.546","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE CERCETARE SPAŢIALĂ (pasiv)
Fix
Mobil cu excepţia mobil
aeronautic 5.149  5.546",,"Linii fixe
Senzori pasivi (la bordul sateliţilor) (măsurarea stratului de gheaţă la suprafaţa mării, a vaporilor de apă, a întinderii scurgerilor de petrol, a apei lichide, a norilor, a temperaturii de suprafaţă, a emisivității și atenuării atmosferice) (fereastră de referinţă pentru gama 50–60 GHz)
Radioastronomie (observaţii în domeniul continuu)",,,,,NG,
"31,80 – 32,00","FIX 5.547A
RADIONAVIGAŢIE
CERCETARE SPAŢIALĂ (spaţiu
îndepărtat) (spaţiu–Pământ)
5.547 5.547B 5.548","FIX 5.547A
RADIONAVIGAŢIE
CERCETARE SPAŢIALĂ (spaţiu
îndepărtat) (spaţiu–Pământ)
5.547  5.548",,"Linii fixe (aplicaţii de densitate mare)
FWA (punct la punct şi punct–
multipunct)",,,"ERC/REC/(01)02 EN 302 217
ECC/REC/(11)01 EN 302 326",,NG,
"32,00 – 32,30","FIX 5.547A
RADIONAVIGAŢIE
CERCETARE SPAŢIALĂ (spaţiu
îndepărtat) (spaţiu–Pământ)
5.547 5.547C 5.548","FIX 5.547A
RADIONAVIGAŢIE
CERCETARE SPAŢIALĂ (spaţiu
îndepărtat) (spaţiu–Pământ)
5.547 5.548",,"Linii fixe (aplicaţii de densitate mare)
FWA (punct la punct şi punct–
multipunct)",,,"ERC/REC/(01)02 EN 302 217
ECC/REC/(11)01 EN 302 326",,NG,
