"Banda de frecvenţe
(GHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Utilizări în România,Column2,Column3,Column4,Column5,Statut utilizare,Column6
"11,70 – 12,50","RADIODIFUZIUNE
RADIODIFUZIUNE PRIN SATELIT  5.492
FIX
MOBIL cu excepţia mobil
aeronautic","RADIODIFUZIUNE PRIN SATELIT  5.492
MOBIL cu excepţia mobil
aeronautic
5.487 5.487A ECA28",,"Radiodifuziune prin satelit (în conformitate cu Apendicele 30) (terminale interactive prin satelit (SIT) în banda 12,4 – 12,5 GHz)
Terminale de satelit de putere (pire) mare (HEST)",,,"ERC/DEC/(00)08 EN 301 360
EN 301 459
EN 302 340
EN 302 448 ECC/DEC/(06)03",,NG,
,5.487 5.487A,,,"Terminale de satelit de putere (pire)
mică (LEST)",,,ECC/DEC/(06)02,,,
,,,,Stații de sol în mişcare (ESIM),,,"ECC/DEC/(18)04 ECC/DEC/(18)05 EN 302 448
EN 302 977
EN 303 980",,,
,,,,"Staţii de sol fixe operînd în sisteme
NGSO în serviciul fix prin satelit",,,ECC/DEC/(17)04 EN 303 980,,,
,,,,,,,,,,
,,,,,,,,,,
"12,50 – 12,75","FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A 5.484B
(Pământ–spaţiu)","FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A 5.484B
(Pământ–spaţiu)",,Staţii de sol pe aeronave (AES),,,ECC/DEC/(05)11 EN 302 186,,NG,
,,,,Staţii de sol pe nave (ESV),,,ECC/DEC/(05)10 EN 302 340,,,
,5.494 5.495 5.496,5.496,,Stații de sol în mişcare (ESIM),,,"ECC/DEC/(18)04 ECC/DEC/(18)05 EN 302 448
EN 302 977
EN 303 980",,,
,,,,"Stații de sol în serviciul fix prin satelit (prioritate pentru rețelele civile) (purtătoarele de densitate mică, inclusiv staţii VSAT şi staţii digitale SNG, sunt încurajate să utilizeze această bandă; VSAT – SIT/SUT)",,,"ECC/DEC/(05)10 EN 301 427
EN 301 428
EN 301 430
EN 301 459
EN 301 360
EN 302 448",,,
,,,,Terminale de satelit de putere (pire) mare (HEST),,,"ECC/DEC/(06)03 EN 301 428
EN 301 459",,,
,,,,"Terminale de satelit de putere (pire)
mică (LEST)",,,"ECC/DEC/(06)02 EN 301 428
EN 301 459",,,
,,,,"Staţii de sol fixe operînd în sisteme
NGSO în serviciul fix prin satelit",,,ECC/DEC/(17)04 EN 303 980,,,
"12,75 – 13,25","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.441","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.441",,Linii fixe,,,"UIT-R F. 497
ERC/REC 12-02
EN 302 217",,NG,
,"MOBIL
Cercetare spaţială (spaţiu îndepărtat) (spaţiu–Pământ)",,,Stații de sol în serviciul fix prin satelit,,,EN 301 430,,,
,,,,,,,,,,
,,,,,,,,,,
"13,25 – 13,40","RADIONAVIGAŢIE
AERONAUTICĂ 5.497","RADIONAVIGAŢIE
AERONAUTICĂ 5.497",,"Senzori activi (la bordul sateliţilor) (altimetre, difractometre, radare pentru măsurarea precipitaţiilor)
Mijloace auxiliare de navigaţie
Doppler (pe aeronave)
Radare maritime (pentru ancorarea navelor)",,,,,G(A)/NG,
,"EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)",,,,,,,,
,CERCETARE SPAŢIALĂ (activ),CERCETARE SPAŢIALĂ (activ),,,,,,,,
,5.498A 5.499,5.498A,,,,,,,,
,,ECA26,,,,,,,,
"13,40 – 13,65","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)",,"Stații de sol în serviciul fix prin satelit
Senzori activi (la bordul sateliţilor) (altimetre, difractometre, radare pentru măsurarea precipitaţiilor)
Sateliţi pentru retransmiterea datelor Mijloace auxiliare de navigaţie
Doppler (pe aeronave)
Radare maritime (pentru ancorarea navelor)
Radiodeterminare (în banda 13,4–14 GHz)
Radiolocație (militară)",,,EN 301 430,,G(A)/NG,
,FIX PRIN SATELIT (spaţiu– Pământ) 5.484A 5.484B,FIX PRIN SATELIT (spaţiu– Pământ) 5.484A 5.484B,,,,,,,,
,RADIOLOCAŢIE,RADIOLOCAŢIE,,,,,,,,
,"CERCETARE SPAŢIALĂ
5.499C 5.499D","CERCETARE SPAŢIALĂ
5.499C 5.499D",,,,,,,,
,Frecvenţe etalon şi semnale orare prin satelit (Pământ– spaţiu),"5.501B
ECA26  ECA36",,,,,,,,
,"5.499 5.499E 5.500  5.501
5.501B",,,,,,"ERC/REC 70–03
EN 300 440",,,
