,freqs,usess,value
159,"4850,00 – 4995,00","FIX
MOBIL TERESTRU
ECA36",1
160,"4995,00 – 5003,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE (5000 kHz)",1
161,"5003,00 – 5005,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE
Cercetare spaţială",1
162,"5005,00 – 5060,00","FIX
ECA36",1
163,"5060,00 – 5250,00","FIX
Mobil cu excepţia mobil
aeronautic",1
164,"5060,00 – 5250,00",ECA36,1
165,"5250,00 – 5275,00","FIX
MOBIL cu excepţia mobil
aeronautic
Radiolocație 5.132A",1
166,"5250,00 – 5275,00",ECA36,1
167,"5275,00 – 5351,50","FIX
MOBIL cu excepţia mobil
aeronautic",1
168,"5275,00 – 5351,50",ECA36,1
169,"5351,50 – 5366,50",FIX,1
170,"5351,50 – 5366,50","MOBIL cu excepţia mobil
aeronautic Amator 5.133B",1
171,"5351,50 – 5366,50",ECA36,1
172,"5366,50 – 5450,00","FIX
MOBIL cu excepţia mobil
aeronautic",1
173,"5366,50 – 5450,00",ECA36,1
174,"5450,00 – 5480,00",FIX,1
175,"5450,00 – 5480,00","MOBIL AERONAUTIC (OR) MOBIL TERESTRU
ECA36",1
176,"5480,00 – 5680,00","MOBIL AERONAUTIC (R)
5.111  5.115",1
177,"5480,00 – 5680,00",ECA36,1
178,"5680,00 – 5730,00",MOBIL AERONAUTIC (OR),1
179,"5680,00 – 5730,00","5.111  5.115
ECA36",1
180,"5730,00 – 5900,00","FIX
MOBIL TERESTRU
ECA36",1
181,"5900,00 – 5950,00","RADIODIFUZIUNE  5.134
5.136",1
182,"5950,00 – 6200,00",RADIODIFUZIUNE,1
183,"6200,00 – 6525,00","MOBIL MARITIM  5.109  5.110
5.130  5.132",1
184,"6200,00 – 6525,00","5.137
ECA36",1
185,"6525,00 – 6685,00","MOBIL AERONAUTIC (R)
ECA36",1
186,"6685,00 – 6765,00",MOBIL AERONAUTIC (OR),1
187,"6685,00 – 6765,00",ECA36,1
188,"6765,00 – 6795,00","FIX
MOBIL cu excepţia mobil
aeronautic",1
189,"6765,00 – 6795,00","5.138
ECA36",1
190,"6795,00 – 7000,00","FIX
MOBIL cu excepţia mobil
aeronautic",1
191,"6795,00 – 7000,00",5.128A ECA36,1
192,"7000,00 – 7100,00",AMATOR,1
193,"7000,00 – 7100,00",AMATOR PRIN SATELIT,1
194,"7100,00 – 7200,00",AMATOR,1
195,"7200,00 – 7300,00",RADIODIFUZIUNE,1
196,"7300,00 – 7400,00",RADIODIFUZIUNE  5.134,1
197,"7300,00 – 7400,00",5.143,1
198,"7400,00 – 7450,00",RADIODIFUZIUNE,1
199,"7400,00 – 7450,00",5.143B,1
200,"7450,00 – 8100,00","FIX
MOBIL cu excepţia mobil
aeronautic (R)",1
201,"7450,00 – 8100,00",ECA36,1
202,"8100,00 – 8195,00","FIX
MOBIL MARITIM
ECA36",1
203,"8195,00 – 8815,00","MOBIL MARITIM  5.109  5.110
5.132  5.145",1
204,"8195,00 – 8815,00",5.111,1
205,"8195,00 – 8815,00",ECA36,1
206,"8815,00 – 8965,00",MOBIL AERONAUTIC (R) ECA36,1
207,"8965,00 – 9040,00","MOBIL AERONAUTIC (OR)
ECA36",1
208,"9040,00 – 9305,00","FIX
ECA36",1
209,"9305,00 – 9355,00","FIX
Radiolocație 5.145A",1
210,"9305,00 – 9355,00",ECA36,1
211,"9355,00 – 9400,00","FIX
ECA36",1
212,"9400,00 – 9500,00","RADIODIFUZIUNE  5.134
5.146",1
213,"9500,00 – 9900,00","RADIODIFUZIUNE
5.147",1
214,"9900,00 – 9995,00","FIX
ECA36",1
215,"9995,00 – 10003,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE (10000
kHz)",1
216,"9995,00 – 10003,00",5.111,1
217,"10003,00 – 10005,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE
Cercetare spaţială",1
218,"10003,00 – 10005,00",5.111,1
219,"10005,00 – 10100,00","MOBIL AERONAUTIC (R)
5.111",1
220,"10005,00 – 10100,00",ECA36,1
221,"10100,00 – 10150,00",FIX,1
222,"10100,00 – 10150,00","Amator
ECA36",1
223,"10150,00 – 11175,00","FIX
Mobil cu excepţia mobil
aeronautic (R)",1
224,"10150,00 – 11175,00",ECA36,1
225,"11175,00 – 11275,00",MOBIL AERONAUTIC (OR),1
226,"11175,00 – 11275,00",ECA36,1
227,"11275,00 – 11400,00","MOBIL AERONAUTIC (R)
ECA36",1
228,"11400,00 – 11600,00",FIX,1
229,"11400,00 – 11600,00",ECA36,1
230,"11600,00 – 11650,00","RADIODIFUZIUNE  5.134
5.146",1
231,"11650,00 – 12050,00","RADIODIFUZIUNE
5.147",1
232,"12050,00 – 12100,00","RADIODIFUZIUNE  5.134
5.146",1
233,"12100,00 – 12230,00","FIX
ECA36",1
234,"12230,00 – 13200,00","MOBIL MARITIM 5.109 5.110
5.132 5.145",1
235,"12230,00 – 13200,00",ECA36,1
236,"13200,00 – 13260,00",MOBIL AERONAUTIC (OR),1
237,"13200,00 – 13260,00",ECA36,1
238,"13260,00 – 13360,00","MOBIL AERONAUTIC (R)
ECA36",1
239,"13360,00 – 13410,00",FIX,1
240,"13360,00 – 13410,00",RADIOASTRONOMIE,1
241,"13360,00 – 13410,00","5.149
ECA36",1
242,"13410,00 – 13450,00","FIX
Mobil cu excepţia mobil
aeronautic (R)",1
243,"13410,00 – 13450,00",ECA36,1
244,"13450,00 – 13550,00",FIX,1
245,"13450,00 – 13550,00","Mobil cu excepţia mobil
aeronautic (R)",1
246,"13450,00 – 13550,00",Radiolocație 5.132A,1
247,"13450,00 – 13550,00",5.149A,1
248,"13450,00 – 13550,00",ECA36,1
249,"13550,00 – 13570,00","FIX
Mobil cu excepţia mobil aeronautic (R)",1
250,"13550,00 – 13570,00",5.150,1
251,"13550,00 – 13570,00",ECA36,1
252,"13570,00 – 13600,00","RADIODIFUZIUNE  5.134
5.151",1
253,"13600,00 – 13800,00",RADIODIFUZIUNE,1
254,"13800,00 – 13870,00","RADIODIFUZIUNE  5.134
5.151",1
255,"13870,00 – 14000,00","FIX
Mobil cu excepţia mobil
aeronautic (R)",1
256,"13870,00 – 14000,00",ECA36,1
257,"14000,00 – 14250,00",AMATOR,1
258,"14000,00 – 14250,00",AMATOR PRIN SATELIT,1
259,"14250,00 – 14350,00",AMATOR,1
260,"14250,00 – 14350,00",5.152,1
261,"14350,00 – 14990,00","FIX
Mobil cu excepţia mobil
aeronautic (R)",1
262,"14350,00 – 14990,00",ECA36,1
263,"14990,00 – 15005,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE (15000
kHz)",1
264,"14990,00 – 15005,00",5.111,1
265,"15005,00 – 15010,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE
Cercetare spaţială",1
266,"15010,00 – 15100,00",MOBIL AERONAUTIC (OR),1
267,"15010,00 – 15100,00",ECA36,1
268,"15100,00 – 15600,00",RADIODIFUZIUNE,1
269,"15600,00 – 15800,00",RADIODIFUZIUNE  5.134,1
270,"15600,00 – 15800,00",5.146,1
271,"15800,00 – 16100,00","FIX
ECA36",1
272,"16100,00 – 16200,00","FIX
Radiolocatie 5.145A",1
273,"16100,00 – 16200,00",ECA36,1
274,"16200,00 – 16360,00","FIX
ECA36",1
275,"16360,00 – 17410,00","MOBIL MARITIM 5.109 5.110
5.132 5.145",1
276,"16360,00 – 17410,00",ECA36,1
277,"17410,00 – 17480,00","FIX
ECA36",1
278,"17480,00 – 17550,00","RADIODIFUZIUNE  5.134
5.146",1
279,"17550,00 – 17900,00",RADIODIFUZIUNE,1
280,"17900,00 – 17970,00","MOBIL AERONAUTIC (R)
ECA36",1
281,"17970,00 – 18030,00",MOBIL AERONAUTIC (OR),1
282,"17970,00 – 18030,00",ECA36,1
283,"18030,00 – 18052,00","FIX
ECA36",1
284,"18052,00 – 18068,00","FIX
Cercetare spaţială",1
285,"18052,00 – 18068,00",ECA36,1
286,"18068,00 – 18168,00",AMATOR,1
287,"18068,00 – 18168,00",AMATOR PRIN SATELIT,1
288,"18068,00 – 18168,00",5.154,1
289,"18168,00 – 18780,00","FIX
Mobil cu excepţia mobil
aeronautic
ECA36",1
290,"18780,00 – 18900,00",MOBIL MARITIM,1
291,"18780,00 – 18900,00",ECA36,1
292,"18900,00 – 19020,00","RADIODIFUZIUNE  5.134
5.146",1
293,"19020,00 – 19680,00","FIX
ECA36",1
294,"19680,00 – 19800,00",MOBIL MARITIM 5.132,1
295,"19680,00 – 19800,00",ECA36,1
296,"19800,00 – 19990,00","FIX
ECA36",1
297,"19990,00 – 19995,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE
Cercetare spaţială",1
298,"19990,00 – 19995,00",5.111,1
299,"19995,00 – 20010,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE (20000
kHz)",1
300,"19995,00 – 20010,00",5.111,1
301,"20010,00 – 21000,00","FIX
Mobil
ECA36",1
302,"21000,00 – 21450,00",AMATOR,1
303,"21000,00 – 21450,00",AMATOR PRIN SATELIT,1
304,"21450,00 – 21850,00",RADIODIFUZIUNE,1
305,"21850,00 – 21870,00","FIX
ECA36",1
306,"21870,00 – 21924,00","FIX  5.155B
ECA36",1
307,"21924,00 – 22000,00","MOBIL AERONAUTIC (R)
ECA36",1
308,"22000,00 – 22855,00",MOBIL MARITIM  5.132,1
309,"22000,00 – 22855,00",ECA36,1
310,"22855,00 – 23000,00",FIX ECA36,1
311,"23000,00 – 23200,00","FIX
Mobil cu excepţia mobil
aeronautic (R)
ECA36",1
312,"23200,00 – 23350,00","FIX  5.156A
MOBIL AERONAUTIC (OR)",1
313,"23350,00 – 24000,00","FIX
MOBIL cu excepţia mobil
aeronautic 5.157
ECA36",1
314,"24000,00 – 24450,00","FIX
MOBIL TERESTRU
ECA36",1
315,"24450,00 – 24600,00","FIX
MOBIL TERESTRU
Radiolocație 5.132A
ECA36",1
316,"24600,00 – 24890,00","FIX
MOBIL TERESTRU
ECA36",1
317,"24890,00 – 24990,00","AMATOR
AMATOR PRIN SATELIT",1
318,"24990,00 – 25005,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE (25000
kHz)",1
319,"25005,00 – 25010,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE
Cercetare spaţială",1
320,"25010,00 – 25070,00","FIX
MOBIL cu excepţia mobil
aeronautic
ECA36",1
321,"25070,00 – 25210,00",MOBIL MARITIM ECA36,1
322,"25210,00 – 25550,00","FIX
MOBIL cu excepţia mobil
aeronautic
ECA36",1
323,"25550,00 – 25670,00",RADIOASTRONOMIE 5.149,1
324,"25670,00 – 26100,00",RADIODIFUZIUNE,1
325,"26100,00 – 26175,00",MOBIL MARITIM 5.132,1
326,"26100,00 – 26175,00",ECA36,1
327,"26175,00 – 26200,00","FIX
MOBIL cu excepţia mobil
aeronautic
ECA36",1
328,"26200,00 – 26350,00",FIX,1
329,"26200,00 – 26350,00","MOBIL cu excepţia mobil
aeronautic",1
330,"26200,00 – 26350,00",Radiolocație 5.132A,1
331,"26200,00 – 26350,00",ECA36,1
332,"26350,00 – 27500,00","FIX
MOBIL cu excepţia mobil
aeronautic 5.150",1
333,"26350,00 – 27500,00",ECA36,1
334,"27500,00 – 28000,00","FIX
AUXILIAR METEOROLOGIC MOBIL
ECA36",1
335,"28000,00 – 29700,00",AMATOR,1
336,"28000,00 – 29700,00",AMATOR PRIN SATELIT,1
