"Banda de frecvenţe
(kHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Utilizări în România,Column1,Column2,Column3,Column4,Column5,Column6,Statut utilizare,Column7
"137,80 – 148,50","FIX
MOBIL MARITIM
5.64  5.67","FIX
MOBIL MARITIM
5.64","Aplicaţii inductive (în banda 9–148,5 kHz)
Sisteme militare terestre",,,"ERC/REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,G(A)/NG,
,,ECA36,Sisteme militare maritime,,,,,,,,
,,,Implanturi medicale active (în banda 9–315 kHz),,,"ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,,
"148,50 – 255,00","RADIODIFUZIUNE
5.68  5.69  5.70",RADIODIFUZIUNE,Radiodifuziune sonoră (Plan de asignări de frecvenţe - Geneva 1975. Vor fi introduse sisteme digitale.),,,"EN 302 017
EN 302 245",,,,NG,
,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,Implanturi medicale active (în banda 9–315 kHz),,,"ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,,
"255,00 – 283,50","RADIODIFUZIUNE
RADIONAVIGAŢIE AERONAUTICĂ
5.70  5.71","RADIODIFUZIUNE
RADIONAVIGAŢIE AERONAUTICĂ
ECA36","Radiofaruri aeronautice (Plan de asignări de frecvenţe - Geneva 1985)
Radiodifuziune sonoră (Plan de asignări de frecvenţe - Geneva 1975. Vor fi introduse sisteme digitale)",,,"EN 302 017
EN 302 245",,,,G(A)/NG,
,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,Implanturi medicale active (în banda 9–315 kHz),,,"ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
"283,50 – 315,00",RADIONAVIGAŢIE AERONAUTICĂ,RADIONAVIGAŢIE AERONAUTICĂ,Radiofaruri aeronautice (Plan de asignări de frecvenţe - Geneva 1985),,,,,,,G(A)/NG,
,"RADIONAVIGAŢIE MARITIMĂ
(radiofaruri)  5.73","RADIONAVIGAŢIE MARITIMĂ
(radiofaruri) 5.73",Radiofaruri maritime (Plan de asignări de frecvenţe - Geneva 1985),,,,,,,,
,5.74,"5.74
ECA36","Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,Implanturi medicale active (în banda 9–315 kHz),,,"ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
"315,00 – 325,00",RADIONAVIGAŢIE AERONAUTICĂ,RADIONAVIGAŢIE AERONAUTICĂ,Radiofaruri aeronautice (Plan de asignări de frecvenţe - Geneva 1985),,,,,,,G(A)/NG,
,"Radionavigaţie maritimă
(radiofaruri) 5.73","Radionavigaţie maritimă
(radiofaruri) 5.73",Radiofaruri maritime (Plan de asignări de frecvenţe - Geneva 1985),,,,,,,,
,5.75,ECA36,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
EN 302 536
Decizia 2008/432/CE (Nota 2)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
"325,00 – 405,00",RADIONAVIGAŢIE AERONAUTICĂ,RADIONAVIGAŢIE AERONAUTICĂ,Radiofaruri aeronautice (Plan de asignări de frecvenţe - Geneva 1985,,,,,,,G(A)/NG,
,,ECA36,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz ; RFID doar în banda 400–600 kHz)",,,"ERC REC 70–03
EN 300 330
EN 302 536
Decizia 2008/432/CE (Nota 2)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
