,freqs,usess,value
234,"40,50 – 41,00",FIX,1
235,"40,50 – 41,00",5.547,1
236,"41,00 – 42,50",RADIODIFUZIUNE,1
237,"41,00 – 42,50",RADIODIFUZIUNE PRIN SATELIT,1
238,"41,00 – 42,50",FIX,1
239,"41,00 – 42,50",5.547 5.551H 5.51I,1
240,"42,50 – 43,50",FIX,1
241,"42,50 – 43,50","FIX PRIN SATELIT (Pământ–
spaţiu) 5.552",1
242,"42,50 – 43,50","MOBIL cu excepţia mobil
aeronautic",1
243,"42,50 – 43,50",RADIOASTRONOMIE,1
244,"42,50 – 43,50",5.149  5.547,1
245,"43,50 – 45,50",MOBIL 5.553,1
246,"43,50 – 45,50",MOBIL PRIN SATELIT,1
247,"43,50 – 45,50",Fix prin satelit,1
248,"43,50 – 45,50",5.554,1
249,"43,50 – 45,50",ECA36,1
250,"45.50 – 47,00",MOBIL 5.553,1
251,"45.50 – 47,00",MOBIL PRIN SATELIT,1
252,"45.50 – 47,00",RADIONAVIGAŢIE,1
253,"45.50 – 47,00","RADIONAVIGAŢIE PRIN
SATELIT",1
254,"45.50 – 47,00",5.554,1
255,"47,00 – 47,20","AMATOR
AMATOR PRIN SATELIT",1
