"Banda de frecvenţe
(MHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Column2,Utilizări în România,Column3,Column4,Column5,Column6,Statut utilizare,Column7
,,,,,,,EN 301 908-3,,,,
,,,,,,,EN 301 908-11,,,,
,,,,,,,EN 301 908-18,,,,
,,,,LTE,,,EN 301 908-1,,,,
,,,,LTE-MTC,,,EN 301 908-13,,,,
,,,,LTE-eMTC,,,EN 301 908-14,,,,
,,,,NB-IoT,,,EN 301 908-15,,,,
,,,,,,,EN 301 908-18,,,,
,,,,Wi MAX,,,EN 301 908-1,,,,
,,,,,,,EN 301 908-21,,,,
,,,,,,,EN 301 908-22,,,,
,,,,NR,,,,,,,
,,,,MCA,,,Decizia 2008/294/CE,,,,
,,,,,,,(Nota 9),,,,
,,,,,,,Rec. 2008/295/CE,,,,
,,,,,,,ECC/DEC/(06)07,,,,
,,,,,,,EN 302 480,,,,
,,,,MCV,,,Decizia 2010/166/UE,,,,
,,,,,,,(Nota 10),,,,
,,,,,,,Rec. 2010/167/UE,,,,
,,,,,,,ECC/DEC/(08)08,,,,
,,,,Radioastronomie – observații linii,,,,,,,
,,,,"spectrale (de exemplu, linia de",,,,,,,
,,,,hidroxil); VLBI,,,,,,,
,,,,Aplicaţii de bandă ultralargă (UWB,,,ECC/DEC/(06)04,,,,
,,,,generic) (în banda 1600–10600,,,EN 302 065,,,,
,,,,MHz),,,Decizia 2007/131/CE,,,,
,,134,,(Nota 8),,,(Nota 7),,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1785,00 – 1800,00","FIX
MOBIL  5.384A","FIX
MOBIL  5.384A",,"PMSE audio (include radiomicrofoane în banda 1785- 1804,8 MHz)",,,"ERC/REC 70–03
ERC/REC 25-10
Decizia 2014/641/UE EN 300 422
EN 301 357",,G(A)/NG,,
,5.387,5.387,,,,,,,,,
,,ECA36,,Mobil terestru (aplicații mobile),,,,,,,
,,,,Aplicaţii audio pe suport radio (în banda 1795–1800 MHz),,,"ERC/REC 70–03
EN 301 357",,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,Sisteme militare terestre,,,,,,,
"1800,00 – 1805,00","FIX
MOBIL  5.384A","FIX
MOBIL  5.384A
ECA36",,"PMSE audio (include radiomicrofoane în banda 1785- 1804,8 MHz)",,,"ERC/REC 70–03
ERC/REC 25-10
Decizia 2014/641/UE EN 300 422",,G(A)/NG,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,Sisteme militare terestre,,,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1805,00 – 1880,00",FIX,MOBIL  5.384A,,Sisteme terestre capabile să,,,Decizia 2009/766/CE mod,,NG,,
,MOBIL  5.384A,,,"furnizeze servicii de comunicații
electronice (banda 1805-1880 MHz",,,"prin Decizia 2011/251/UE
și prin Decizia (UE)",,,,
,,,,"pentru emisia stației de bază,",,,2018/637,,,,
,,,,pereche cu 1710-1785 MHz):,,,,,,,
,,,,GSM,,,ERC/DEC/(95)03,,,,
,,,,EC-GSM-IoT,,,ECC/REC/(05)08,,,,
,,,,,,,ECC/REC/(08)02,,,,
,,,,,,,EN 301 502,,,,
,,,,,,,EN 301 511,,,,
,,,,,,,EN 303 609,,,,
,,,,IMT,,,ECC/DEC/(06)13,,,,
,,,,,,,ECC/REC/(08)02,,,,
,,,,UMTS,,,EN 301 908-1,,,,
,,,,,,,EN 301 908-2,,,,
,,,,,,,EN 301 908-3,,,,
,,,,,,,EN 301 908-11,,,,
,,,,,,,EN 301 908-18,,,,
,,,,LTE,,,EN 301 908-1,,,,
,,,,LTE-MTC,,,EN 301 908-13,,,,
,,,,LTE-eMTC,,,EN 301 908-14,,,,
,,,,NB-IoT,,,EN 301 908-15,,,,
,,,,,,,EN 301 908-18,,,,
,,,,WiMAX,,,EN 301 908-1,,,,
,,,,,,,EN 301 908-21,,,,
,,,,,,,EN 301 908-22,,,,
,,,,NR,,,,,,,
,,,,MCA,,,Decizia 2008/294/CE,,,,
,,,,,,,(Nota 9),,,,
,,,,,,,Rec. 2008/295/CE,,,,
,,,,,,,ECC/DEC/(06)07,,,,
,,,,,,,EN 302 480,,,,
,,,,MCV,,,Decizia 2010/166/UE,,,,
,,,,,,,(Nota 10),,,,
,,,,,,,Rec. 2010/167/UE,,,,
,,,,,,,ECC/DEC/(08)08,,,,
,,,,Aplicaţii de bandă ultralargă (UWB,,,ECC/DEC/(06)04,,,,
,,,,generic) (în banda 1600–10600,,,EN 302 065,,,,
,,,,MHz),,,Decizia 2007/131/CE,,,,
,,,,(Nota 8),,,(Nota 7),,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1880,00 – 1885,00","FIX
MOBIL  5.384A","FIX
MOBIL  5.384A",,DECT,,,"ERC/DEC/(94)03 ERC/REC 70-03
EN 301 406
EN 301 908
Directiva 91/287/CEE Rec. 91/288/CEE",,NG,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
"1885,00 – 1900,00","FIX
MOBIL  5.388A  5.388B
5.388","FIX
MOBIL  5.388A
5.388",,DECT,,,"ERC/DEC/(94)03 ERC/REC 70-03
EN 301 406
EN 301 908
Directiva 91/287/CEE Rec. 91/288/CEE",,NG,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1900,00 – 1930,00",FIX,MOBIL  5.388A,,Sisteme terestre capabile să,,,Decizia 2012/688/UE,,NG,,
,MOBIL  5.388A  5.388B,,,furnizeze servicii de comunicații electronice (rețele MFCN) (banda,,,ECC/DEC/(06)01 ERC/REC/(01)01,,,,
,,,,1920 -1980 MHz pentru emisia,,,,,,,
,,,,"stației mobile, pereche cu 2110-",,,,,,,
,5.388,5.388,,2170 MHz): IMT,,,,,,,
,,,,UMTS,,,EN 301 908-1,,,,
,,,,,,,EN 301 908-2,,,,
,,,,,,,EN 301 908-3,,,,
,,,,,,,EN 301 908-11,,,,
,,,,,,,EN 301 908-18,,,,
,,,,LTE,,,EN 301 908-1,,,,
,,,,LTE-MTC,,,EN 301 908-13,,,,
,,,,LTE-eMTC,,,EN 301 908-14,,,,
,,,,NB-IoT,,,EN 301 908-15,,,,
,,,,,,,EN 301 908-18,,,,
,,,,NR,,,,,,,
,,,,,,,Decizia 2013/654/UE mod,,,,
,,,,MCA (în banda 1920-1980 MHz),,,prin Dec. (UE) 2016/2317,,,,
,,,,,,,Rec. 2008/295/CE,,,,
,,,,,,,ECC/DEC/(06)07,,,,
,,,,MCV (în banda 1920-1980 MHz),,,Decizia (UE) 2017/191,,,,
,,,,,,,Rec. 2010/167/UE,,,,
,,,,,,,ECC/DEC/(08)08,,,,
,,,,Aplicaţii de bandă ultralargă (UWB,,,ECC/DEC/(06)04,,,,
,,,,generic) (în banda 1600–10600,,,EN 302 065,,,,
,,,,MHz),,,Decizia 2007/131/CE,,,,
,,,,(Nota 8),,,(Nota 7),,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1930,00 – 1970,00",FIX,MOBIL  5.388A,,Sisteme terestre capabile să,,,Decizia 2012/688/UE,,NG,,
,MOBIL  5.388A  5.388B,,,furnizeze servicii de comunicații electronice (rețele MFCN) (banda,,,ECC/DEC/(06)01 ERC/REC/(01)01,,,,
,,,,1920 -1980 MHz pentru emisia,,,,,,,
,,,,"stației mobile, pereche cu 2110-",,,,,,,
,5.388,5.388,,2170 MHz) IMT,,,,,,,
,,,,UMTS,,,EN 301 908-1,,,,
,,,,,,,EN 301 908-2,,,,
,,,,,,,EN 301 908-3,,,,
,,,,,,,EN 301 908-11,,,,
,,,,,,,EN 301 908-18,,,,
,,,,LTE,,,EN 301 908-1,,,,
,,,,LTE-MTC,,,EN 301 908-13,,,,
,,,,LTE-eMTC,,,EN 301 908-14,,,,
,,,,NB-IoT,,,EN 301 908-15,,,,
,,,,,,,EN 301 908-18,,,,
,,,,NR,,,,,,,
,,,,MCA (în banda 1920-1980 MHz),,,Decizia 2013/654/UE mod,,,,
,,,,,,,prin Dec. (UE) 2016/2317,,,,
,,,,,,,Rec. 2008/295/CE,,,,
,,,,,,,ECC/DEC/(06)07,,,,
,,,,MCV (în banda 1920-1980 MHz),,,Decizia (UE) 2017/191,,,,
,,,,,,,Rec. 2010/167/UE,,,,
,,,,,,,ECC/DEC/(08)08,,,,
,,,,Aplicaţii de bandă ultralargă (UWB,,,ECC/DEC/(06)04,,,,
,,,,generic) (în banda 1600–10600,,,EN 302 065,,,,
,,,,MHz),,,Decizia 2007/131/CE,,,,
,,,,(Nota 8),,,(Nota 7),,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1970,00 – 1980,00",FIX,MOBIL  5.388A,,Sisteme terestre capabile să,,,Decizia 2012/688/UE,,NG,,
,MOBIL  5.388A  5.388B,,,furnizeze servicii de comunicații electronice (rețele MFCN) (banda,,,ECC/DEC/(06)01 ERC/REC/(01)01,,,,
,,5.388,,"1920 -1980 MHz pentru emisia
stației mobile, pereche cu 2110-",,,,,,,
,5.388,,,2170 MHz) IMT,,,,,,,
,,,,UMTS,,,EN 301 908-1,,,,
,,,,,,,EN 301 908-2,,,,
,,,,,,,EN 301 908-3,,,,
,,,,,,,EN 301 908-11,,,,
,,,,,,,EN 301 908-18,,,,
,,,,LTE,,,EN 301 908-1,,,,
,,,,LTE-MTC,,,EN 301 908-13,,,,
,,,,LTE-eMTC,,,EN 301 908-14,,,,
,,,,NB-IoT,,,EN 301 908-15,,,,
,,,,,,,EN 301 908-18,,,,
,,,,NR,,,,,,,
,,,,MCA (în banda 1920-1980 MHz),,,Decizia 2013/654/UE mod,,,,
,,,,,,,prin Dec. (UE) 2016/2317,,,,
,,,,,,,Rec. 2008/295/CE,,,,
,,,,,,,ECC/DEC/(06)07,,,,
,,,,MCV (în banda 1920-1980 MHz),,,Decizia (UE) 2017/191,,,,
,,,,,,,Rec. 2010/167/UE,,,,
,,,,,,,ECC/DEC/(08)08,,,,
,,,,Aplicaţii de bandă ultralargă (UWB,,,ECC/DEC/(06)04,,,,
,,,,generic) (în banda 1600–10600,,,EN 302 065,,,,
,,,,MHz),,,Decizia 2007/131/CE,,,,
,,,,(Nota 8),,,(Nota 7),,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1980,00 – 2010,00","FIX MOBIL
MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A
5.388  5.389A","MOBIL
MOBIL PRIN SATELIT (Pământ–
spaţiu) 5.351A Fix
5.388  5.389A",,Stații de sol în serviciul mobil prin satelit (Sistemele mobile prin satelit operînd în această bandă pot încorpora şi o componentă terestră complementară – CGC),,,"ECC/DEC/(06)09 ECC/DEC/(06)10 EN 301 442
EN 301 473
EN 302 574
Decizia 2007/98/CE Decizia 2008/626/CE Decizia 2009/449/CE",,G(A)/NG,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,Sisteme militare,,,,,,,
"2010,00 – 2025,00","FIX
MOBIL  5.388A  5.388B","MOBIL  5.388A
Fix",,"PMSE (legături video pe suport radio, portabile sau mobile, și camere video fără cordon)",,,"ERC/REC 25-10
EN 302 064",,G(A)/NG,,
,5.388,5.388,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
"2025,00 – 2059,50","EXPLOATARE SPAŢIALĂ
(Pământ–spaţiu) (spaţiu–spaţiu)","FIX
MOBIL  5.391",,Linii fixe de capacitate mică/medie,,,"T/R 13–01
EN 302 217",,G(A)/NG,,
,"EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (Pământ–spaţiu) (spaţiu–spaţiu)
FIX
MOBIL  5.391
CERCETARE SPAŢIALĂ
(Pământ–spaţiu) (spaţiu–spaţiu)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (Pământ–spaţiu) (spaţiu–spaţiu)
EXPLOATARE SPAŢIALĂ
(Pământ–spaţiu) (spaţiu–spaţiu)
CERCETARE SPAŢIALĂ
(Pământ–spaţiu) (spaţiu–spaţiu)",,"PMSE (legături video pe suport radio, portabile sau mobile, și camere video fără cordon)
Cercetare spațială (telecomandă
pentru platforme şi trafic spațial util)
Sisteme militare terestre",,,"ERC/REC 25-10
EN 302 064",,,,
,,,,Sisteme militare maritime,,,,,,,
,5.392,"5.392
ECA 16A  ECA36",,Sisteme militare aeronautice,,,,,,,
,,,,Telemetrie/Telecomandă (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"2059,50 – 2110,00","EXPLOATARE SPAŢIALĂ
(Pământ–spaţiu) (spaţiu–spaţiu)","FIX
MOBIL  5.391",,"Linii fixe de capacitate mică/medie
PMSE (legături video pe suport radio, portabile sau mobile, și camere video fără cordon)
Cercetare spațială (telecomandă
pentru platforme şi trafic spațial util)
Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"T/R 13–01
EN 302 217",,NG,,
,"EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (Pământ–spaţiu) (spaţiu–spaţiu)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (Pământ–spaţiu) (spaţiu–spaţiu)",,,,,"ERC/REC 25-10
EN 302 064",,,,
,"FIX
MOBIL  5.391","EXPLOATARE SPAŢIALĂ
(Pământ–spaţiu) (spaţiu–spaţiu)",,,,,,,,,
,"CERCETARE SPAŢIALĂ
(Pământ–spaţiu) (spaţiu–spaţiu)
5.392","CERCETARE SPAŢIALĂ
(Pământ–spaţiu) (spaţiu–spaţiu)
5.392",,,,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,ECA 16A,,,,,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"2110,00 – 2120,00",FIX,MOBIL  5.388A,,Sisteme terestre capabile să,,,Decizia 2012/688/UE,,NG,,
,"MOBIL  5.388A  5.388B
CERCETARE SPAŢIALĂ (spaţiu
îndepărtat)(Pământ–spaţiu)","CERCETARE SPAŢIALĂ (spaţiu
îndepărtat) (Pământ–spaţiu)",,"furnizeze servicii de comunicații electronice (rețele MFCN) (banda 2110-2170 MHz pentru emisia stației de bază, pereche cu 1920 -",,,ECC/DEC/(06)01 ERC/REC/(01)01,,,,
,,,,1980 MHz),,,,,,,
,5.388,5.388,,IMT UMTS,,,"EN 301 908-1
EN 301 908-2",,,,
,,,,,,,EN 301 908-3,,,,
,,,,,,,EN 301 908-11,,,,
,,,,,,,EN 301 908-18,,,,
,,,,LTE,,,EN 301 908-1,,,,
,,,,LTE-MTC,,,EN 301 908-13,,,,
,,,,LTE-eMTC,,,EN 301 908-14,,,,
,,,,NB-IoT,,,EN 301 908-15,,,,
,,,,,,,EN 301 908-18,,,,
,,,,NR,,,,,,,
,,,,MCA (în banda 2110-2170 MHz),,,Decizia 2013/654/UE mod,,,,
,,,,,,,prin Dec. (UE) 2016/2317,,,,
,,,,,,,Rec. 2008/295/CE,,,,
,,,,,,,ECC/DEC/(06)07,,,,
,,,,MCV (în banda 2110-2170 MHz),,,Decizia (UE) 2017/191,,,,
,,,,,,,Rec. 2010/167/UE,,,,
,,,,,,,ECC/DEC/(08)08,,,,
,,,,Aplicaţii de bandă ultralargă (UWB,,,ECC/DEC/(06)04,,,,
,,,,generic) (în banda 1600–10600,,,EN 302 065,,,,
,,,,MHz),,,Decizia 2007/131/CE,,,,
,,,,(Nota 8),,,(Nota 7),,,,
,,,,Telecomandă pentru platforme şi,,,,,,,
,,,,trafic spaţial util pentru cercetare,,,,,,,
,,,,spaţială (spaţiu îndepărtat).,,,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"2120,00 – 2170,00",FIX,MOBIL  5.388A,,Sisteme terestre capabile să,,,Decizia 2012/688/UE,,NG,,
,MOBIL  5.388A  5.388B,,,furnizeze servicii de comunicații electronice (rețele MFCN) (banda,,,ECC/DEC/(06)01 ERC/REC/(01)01,,,,
,,,,2110-2170 MHz pentru emisia,,,,,,,
,,,,"stației de bază, pereche cu 1920 -",,,,,,,
,5.388,5.388,,1980 MHz) IMT,,,,,,,
,,,,UMTS,,,EN 301 908-1,,,,
,,,,,,,EN 301 908-2,,,,
,,,,,,,EN 301 908-3,,,,
,,,,,,,EN 301 908-11,,,,
,,,,,,,EN 301 908-18,,,,
,,,,LTE,,,EN 301 908-1,,,,
,,,,LTE-MTC,,,EN 301 908-13,,,,
,,,,LTE-eMTC,,,EN 301 908-14,,,,
,,,,NB-IoT,,,EN 301 908-15,,,,
,,,,,,,EN 301 908-18,,,,
,,,,NR,,,,,,,
,,,,MCA (în banda 2110-2170 MHz),,,Decizia 2013/654/UE mod,,,,
,,,,,,,prin Dec. (UE) 2016/2317,,,,
,,,,,,,Rec. 2008/295/CE,,,,
,,,,,,,ECC/DEC/(06)07,,,,
,,,,MCV (în banda 2110-2170 MHz),,,Decizia (UE) 2017/191,,,,
,,,,,,,Rec. 2010/167/UE,,,,
,,,,,,,ECC/DEC/(08)08,,,,
,,,,Aplicaţii de bandă ultralargă (UWB,,,ECC/DEC/(06)04,,,,
,,,,generic) (în banda 1600–10600,,,EN 302 065,,,,
,,,,MHz),,,Decizia 2007/131/CE,,,,
,,,,(Nota 8),,,(Nota 7),,,,
"2170,00 – 2200,00","FIX MOBIL
MOBIL PRIN SATELIT (spaţiu–
Pământ)  5.351A
5.388  5.389A","MOBIL
MOBIL PRIN SATELIT (spaţiu–
Pământ)  5.351A
5.388  5.389A",,Stații de sol în serviciul mobil prin satelit (Sistemele mobile prin satelit operînd în această bandă pot încorpora şi o componentă terestră complementară – CGC),,,"ECC/DEC/(06)09 ECC/DEC/(06)10 ECC/REC/(10)01 EN 301 442
EN 301 473
EN 302 574
Decizia 2007/98/CE Decizia 2008/626/CE Decizia 2009/449/CE",,NG,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"2200,00 – 2234,50","EXPLOATARE SPAŢIALĂ
(spaţiu–Pământ) (spaţiu–spaţiu)","FIX
MOBIL  5.391",,Linii fixe de capacitate mică/medie,,,"T/R 13–01
EN 302 217",,G(A)/NG,,
,"EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)
FIX
MOBIL  5.391
CERCETARE SPAŢIALĂ
(spaţiu–Pământ) (spaţiu–spaţiu)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)
EXPLOATARE SPAŢIALĂ
(spaţiu–Pământ) (spaţiu–spaţiu)
CERCETARE SPAŢIALĂ
(spaţiu–Pământ) (spaţiu–spaţiu)",,"PMSE (legături video pe suport radio, portabile sau mobile, și camere video fără cordon)
Radioastronomie – observații în domeniul continuu; VLBI (pentru serviciul de cercetare spațială)",,,"ERC/REC 25-10
EN 302 064",,,,
,5.392,"5.392
ECA16A  ECA36",,"Cercetare spaţială (telemetrie pentru platforme şi trafic spațial util pentru serviciul de explorare a
Pământului prin satelit)",,,ECC/REC/(10)01,,,,
,,,,Sisteme militare terestre,,,,,,,
,,,,Sisteme militare maritime,,,,,,,
,,,,Sisteme militare aeronautice,,,,,,,
,,,,Telemetrie/Telecomandă (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"2234,50 – 2290,00","EXPLOATARE SPAŢIALĂ
(spaţiu–Pământ) (spaţiu–spaţiu)","FIX
MOBIL  5.391",,"Linii fixe de capacitate mică/medie
PMSE (legături video pe suport radio, portabile sau mobile, și camere video fără cordon)
Cercetare spaţială (telemetrie pentru platforme şi trafic spațial util pentru serviciul de explorare a
Pământului prin satelit; observații în domeniul continuu; VLBI pentru serviciul de cercetare spațială)
Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)
Sisteme MMDS, de tip punct– multipunct pentru transport servicii de programe audiovizuale între capete de reţea ale reţelelor CATV (de cabloviziune), în zone rurale
(în banda 2250-2290 MHz, cu statut secundar)",,,"T/R 13–01
EN 302 217",,NG,,
,"EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)",,,,,"ERC/REC 25-10
EN 302 064",,,,
,"FIX
MOBIL  5.391","EXPLOATARE SPAŢIALĂ
(spaţiu–Pământ) (spaţiu–spaţiu)",,,,,ECC/REC/(10)01,,,,
,"CERCETARE SPAŢIALĂ
(spaţiu–Pământ) (spaţiu–spaţiu)","CERCETARE SPAŢIALĂ
(spaţiu–Pământ) (spaţiu–spaţiu)",,,,,,,,,
,5.392,"5.392
ECA16A",,,,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,Fără a cauza interferenţe prejudiciabile asupra liniilor fixe şi fără a reclama protecţie din partea acestora,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"2290,00 – 2300,00","FIX
MOBIL cu excepţia mobil
aeronautic","FIX
CERCETARE SPAŢIALĂ (spaţiu
îndepărtat)(spaţiu– Pământ)",,"PMSE (legături video pe suport radio, portabile sau mobile, și camere video fără cordon)",,,"ERC/REC 25-10
EN 302 064",,NG,,
,"CERCETARE SPAŢIALĂ (spaţiu
îndepărtat)(spaţiu– Pământ)","MOBIL cu excepţia mobil
aeronautic",,Aplicaţii mobile terestre,,,,,,,
,,,,Cercetare spaţială (telemetrie pentru platforme şi trafic spațial util pentru serviciul de cercetare spaţială (în spaţiul îndepărtat); observații în domeniul continuu; VLBI pentru serviciul de cercetare spațială),,,,,,,
,,,,"Sisteme MMDS, de tip punct– multipunct pentru transport servicii de programe audiovizuale între capete de reţea ale reţelelor CATV (de cabloviziune), în zone rurale",,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
"2300,00 – 2335,00",FIX,FIX,,Amator (în banda 2300-2450 MHz),,,EN 301 783,,NG,,
,"MOBIL  5.384A
Amator
Radiolocaţie","MOBIL 5.384A
Amator
Radiolocaţie",,"PMSE (legături video pe suport radio, portabile sau mobile, și camere video fără cordon)",,,"ERC/REC 25-10
EN 302 064",,,,
,,,,"Sisteme MMDS, de tip punct– multipunct pentru transport servicii de programe audiovizuale între capete de reţea ale reţelelor CATV (de cabloviziune), în zone rurale",,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"2335,00 – 2400,00",FIX,FIX,,Amator (în banda 2300-2450 MHz),,,EN 301 783,,G(A)/NG,,
,"MOBIL  5.384A
Amator
Radiolocaţie","MOBIL 5.384A
Amator
Radiolocaţie",,"PMSE (legături video pe suport radio, portabile sau mobile, și camere video fără cordon)",,,"ERC/REC 25-10
EN 302 064",,,,
,,ECA36,,"Sisteme MMDS, de tip punct– multipunct pentru transport servicii de programe audiovizuale între capete de reţea ale reţelelor CATV (de cabloviziune), în zone rurale",,,,,,,
,,,,Sisteme militare terestre,,,,,,,
,,,,Sisteme militare maritime,,,,,,,
,,,,Sisteme militare aeronautice,,,,,,,
,,,,Telemetrie/Telecomandă (militar),,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"2400,00 – 2450,00",FIX,FIX,,Amator,,,EN 301 783,,G(A)/NG,,
,"MOBIL
Amator","MOBIL
Amator",,Amator prin satelit,,,,,,,
,Radiolocaţie,"Amator prin satelit  5.282
Radiolocaţie",,"PMSE (legături video pe suport radio, portabile sau mobile, și camere video fără cordon)",,,"ERC/REC 25-10
EN 302 064",,,,
,5.150  5.282,5.150,,ISM,,,,,,,
,,ECA36,,"Aplicaţii de radiodeterminare (în
banda 2400,0–2483,5 MHz)",,,"ERC/REC 70–03
EN 300 440
Decizia 2009/381/CE (Nota 3)",,,,
,,,,"SRD nespecifice (în banda 2400,0– 2483,5 MHz)",,,"ERC/REC 70–03
EN 300 440
Decizia 2006/771/CE (Nota 1)",,,,
,,,,Sisteme de identificare în radiofrecvenţă (RFID) (în banda 2446–2454 MHz),,,"ERC/REC 70–03
EN 300 440
Decizia 2009/381/CE (Nota 3)",,,,
,,,,"Sisteme de transmisiuni de date de bandă largă (în banda 2400,0– 2483,5 MHz)",,,"ERC/REC 70–03
EN 300 328
Decizia 2009/381/CE (Nota 3)",,,,
,,,,Sisteme militare (cu statut secundar),,,Fără a reclama protecţie din partea aplicaţiilor civile,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"2450,00 – 2483,50","FIX MOBIL
Radiolocaţie","FIX MOBIL
Radiolocaţie",,"PMSE (legături video pe suport radio, portabile sau mobile, și camere video fără cordon)",,,"ERC/REC 25-10
EN 302 064",,G(A)/NG,,
,,,,ISM,,,,,,,
,5.150,5.150,,"Aplicaţii de radiodeterminare (în
banda 2400,0–2483,5 MHz)",,,"ERC/REC/70–03 EN 300 440
Decizia 2009/381/CE (Nota 3)",,,,
