"Banda de frecvenţe
(MHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Column2,Utilizări în România,Column3,Column4,Column5,Column6,Statut utilizare,Column7
"41,0150 – 42,0000",FIX,MOBIL,,,Sisteme militare aeronautice Sisteme militare terestre Sisteme militare maritime ECA36,,,,,G(A),
,MOBIL,ECA36,,,,,,,,,
,5.160,,,,,,,,,,
,5.161,,,,,,,,,,
,5.161A,,,,,,,,,,
"42,0000 – 42,5000",FIX,FIX,,,Sisteme militare aeronautice Sisteme militare terestre Sisteme militare maritime,,,,,G(A),
,MOBIL,MOBIL,,,,,,,,,
,Radiolocație   5.132A,5.161B,,,,,,,,,
,5.160,ECA36,,,,,,,,,
,5.161B,,,,,,,,,,
"42,5000 – 44,0000",FIX,MOBIL,,,Sisteme militare aeronautice Sisteme militare maritime Sisteme militare terestre ECA36,,,,,G(A),
,MOBIL,ECA36,,,,,,,,,
,5.160,,,,,,,,,,
,5.161,,,,,,,,,,
,5.161A,,,,,,,,,,
"44,0000 – 44,5000",FIX MOBIL 5.162A,MOBIL 5.162A ECA36,,,Sisteme militare aeronautice Sisteme militare maritime Sisteme militare terestre ECA36,,,,,G(A),
,,,,,,,,,,,
,,,,,,,,,,,
"44,5000 – 45,2000",,,,,PMR,"T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
,,,,,"Radiomicrofoane (cu acord de frecvenţă în banda 44,5-45,2 MHz)","ERC/REC 70-03
EN 300 422",,,,,
"45,2000 – 46,4000",,,,,Sisteme militare aeronautice Sisteme militare terestre Sisteme militare maritime ECA36,,,,,G(A) / NG,
,,,,,"Radare profil de vânt
(în gama 46-68 MHz, partaj geografic cu alte servicii)",,,,,,
"46,4000 – 47,0000",,,,,Sisteme militare aeronautice Sisteme militare terestre Sisteme militare maritime ECA36,,,,,G(A) / NG,
,,,,,"Radare profil de vânt
(în gama 46-68 MHz, partaj geografic cu alte servicii)",,,,,,
"47,0000 – 48,0000","RADIODIFUZIUNE
5.162A","MOBIL TERESTRU
5.162A",,,Sisteme militare terestre ECA36,,,,,G(A)/G/NG,
,"5.163
5.164","5.164
ECA36",,,Sisteme guvernamentale,,,,,,
,5.165,,,,"Paging de incintă
(în banda 47,00-47,25 MHz)",EN 300 224,,,,,
,,,,,Radare profil de vânt,,,,,,
,,,,,"(în gama 46-68 MHz, partaj",,,,,,
,,,,,geografic cu alte servicii),,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"48,0000 – 49,0000",,,,,"Explorarea Pământului prin satelit (48,5 – 50 MHz; cercetare spațială în cadrul Serviciului de
Explorare a Pământului prin
satelit)",,,,,NG,
,,,,,PMR,"T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,,
"49,0000 – 50,0000",,,,,Sisteme militare terestre ECA36,,,,,G(A)/G/NG,
,,,,,Sisteme guvernamentale,,,,,,
,,,,,"Radare profil de vânt
(în gama 46-68 MHz, partaj geografic cu alte servicii)",,,,,,
"50,0000 – 52,0000",RADIODIFUZIUNE,MOBIL TERESTRU,,,Aplicaţii pentru amatori,EN 301 783,,,,G(A)/NG,
,"5.162A
5.164
5.165","Amator 5.162A
5.164",,,Sisteme militare terestre ECA36,,,,,,
,5.169,ECA36,,,"Radare profil de vânt
(în gama 46-68 MHz, partaj",,,,,,
,,,,,geografic cu alte servicii),,,,,,
"52,0000 – 54,0000",RADIODIFUZIUNE,MOBIL TERESTRU,,,"Sisteme militare terestre ECA36
Sisteme guvernamentale Radare profil de vânt
(46-68 MHz, partaj geografic cu
alte servicii)",,,,,G(A)/G/NG,
,5.162A,5.162A,,,,,,,,,
,5.163,5.163,,,,,,,,,
,5.164,5.164,,,,,,,,,
,5.165,ECA36,,,,,,,,,
,5.169,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"54,0000 –54,5000",,,,,PMR,"T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
,,,,,"Radare profil de vânt
(în gama 46-68 MHz, partaj geografic cu alte servicii)",,,,,,
"54,5000 – 61,0000",,,,,PMR,"T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,G(A)/NG,
,,,,,Sisteme militare terestre ECA36,,,,,,
